"";"ID";"Baum-Nr";"Fall";"Fallnummer";"Z_Oeffnung";"Z_laeng";"Z_breit";"DM_Spitz";"DM_max";"DM_mit";"Woel_aufg";"Woel_flach";"Verh_LB";"Asym";"Apo_L";"Apo_B";"Apo_S";"Entf";"Verh_LABA";"Verh_LASA";"Stiel_L";"Baumseite";"Fallgruppe";"Bart";"Region";"Population";"Hakigkeit"
"363";"R2_Pmu_2.3";16;"R./P.m.ssp.u. 2";"R./P.u. 2";"o";31,17;34,31;2,2;35,4;18,8;55;45;0,908481492276304;1,22222222222222;4,23;7,13;3,04;4,23;0,593267882187938;1,39144736842105;NA;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";1
"364";"R2_Pmu_2.4";16;"R./P.m.ssp.u. 2";"R./P.u. 2";"o";34,42;33,5;1,93;35,25;18,59;65;45;1,02746268656716;1,44444444444444;5,15;7,24;6,02;3,27;0,711325966850829;0,855481727574751;3,22;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,63495145631068
"365";"R2_Pmu_2.5";16;"R./P.m.ssp.u. 2";"R./P.u. 2";"o";30,04;30,3;3,29;34,49;18,89;55;40;0,991419141914191;1,375;5,84;5,13;2,46;3,66;1,13840155945419;2,3739837398374;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,626712328767123
"366";"R2_Pmu_2.6";16;"R./P.m.ssp.u. 2";"R./P.u. 2";"c";34,03;39,75;2,79;42,22;22,505;65;45;0,856100628930818;1,44444444444444;6,14;6,16;2,47;4,17;0,996753246753247;2,48582995951417;NA;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,679153094462541
"367";"R2_Pmu_2.7";16;"R./P.m.ssp.u. 2";"R./P.u. 2";"co";34,08;29,63;2,71;31,8;17,255;60;45;1,15018562267972;1,33333333333333;5,9;5,4;2,66;3,24;1,09259259259259;2,21804511278195;3,84;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,549152542372881
"368";"R2_Pmu_2.8";16;"R./P.m.ssp.u. 2";"R./P.u. 2";"co";31,12;25,85;3,52;26,14;14,83;55;45;1,20386847195358;1,22222222222222;5,37;5,25;2,55;3,16;1,02285714285714;2,10588235294118;3,9;"n";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,588454376163873
"369";"R2_Pmu_20.1";34;"R./P.m.ssp.u. 20";"R./P.u. 20";"o";46,05;46,1;1,84;47,21;24,525;71;68;0,998915401301518;1,04411764705882;7,18;8,09;4,04;4,67;0,887515451174289;1,77722772277228;9,06;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,65041782729805
"370";"R2_Pmu_20.2";34;"R./P.m.ssp.u. 20";"R./P.u. 20";"o";27,52;27,04;3,25;29,98;16,615;47;38;1,01775147928994;1,23684210526316;4,94;7,89;3,41;4,58;0,626108998732573;1,44868035190616;3,28;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,927125506072874
"371";"R2_Pmu_20.3";34;"R./P.m.ssp.u. 20";"R./P.u. 20";"o";26,7;32,11;1,98;34,34;18,16;46;41;0,831516661476176;1,1219512195122;4,14;7,54;2,83;2,99;0,549071618037135;1,46289752650177;3,28;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,722222222222222
"372";"R2_Pmu_20.4";34;"R./P.m.ssp.u. 20";"R./P.u. 20";"o";37,15;37,63;3,53;39,6;21,565;60;52;0,987244220037204;1,15384615384615;5,43;8,14;3,15;3,01;0,667076167076167;1,72380952380952;2,57;"s";"R./P.m.ssp.u.";"P.m.ssp.u.";"R";"P.m.ssp.u./R";0,554327808471455
